iter	Poisson
0	0.8477729742
1	0.7057057468
2	0.5649603228
3	0.4280361343
4	0.2981818198
5	0.1769141015
6	0.05725686059
7	-0.05683408103
8	-0.1659165146
9	-0.2713435158
10	-0.3708837674
11	-0.4655194274
12	-0.5594719738
13	-0.6498008521
14	-0.7354200899
15	-0.8152444385
16	-0.8994367183
17	-0.974735973
18	-1.046527204
19	-1.11650536
20	-1.184864703
21	-1.247457147
22	-1.309179022
23	-1.368640413
24	-1.424607262
25	-1.483439582
26	-1.537999584
27	-1.589139825
28	-1.638691642
29	-1.684466315
30	-1.72906454
31	-1.772939404
32	-1.812255031
33	-1.851717109
34	-1.888891553
35	-1.924220668
36	-1.958694786
37	-1.994080688
38	-2.028023198
39	-2.058671697
40	-2.089347147
41	-2.118351977
42	-2.146083546
43	-2.172604465
44	-2.198855065
45	-2.221735287
46	-2.244300623
47	-2.267435031
48	-2.286402738
49	-2.305117915
50	-2.322391298
51	-2.339567058
52	-2.358683342
53	-2.374493592
54	-2.392401147
55	-2.408341697
56	-2.422577658
57	-2.43795712
58	-2.452936406
59	-2.469535847
60	-2.482369612
61	-2.494970571
62	-2.504775923
63	-2.514495549
64	-2.523682993
65	-2.532502845
66	-2.542225766
67	-2.55104745
68	-2.559167362
69	-2.568616583
70	-2.577049357
71	-2.584434595
72	-2.594000885
73	-2.600036731
74	-2.608821424
75	-2.61545663
76	-2.623252524
77	-2.629573093
78	-2.637439579
79	-2.642432651
80	-2.648616006
81	-2.655982972
82	-2.661849848
83	-2.667069862
84	-2.671959765
85	-2.67577772
86	-2.680186965
87	-2.685618618
88	-2.691454349
89	-2.697962323
90	-2.703046658
91	-2.706917782
92	-2.710576154
93	-2.714244069
94	-2.718376496
95	-2.721849675
96	-2.725925977
97	-2.730452206
98	-2.734080316
99	-2.737162646
100	-2.740483364
101	-2.74348242
102	-2.747281042
103	-2.751026862
104	-2.755005589
105	-2.759180626
106	-2.761683777
107	-2.765829032
108	-2.769573297
109	-2.772174602
110	-2.777714848
111	-2.780512912
112	-2.785809295
113	-2.793377895
114	-2.79825145
115	-2.800539324
116	-2.80428137
117	-2.807474489
118	-2.808794743
119	-2.811221852
120	-2.813739538
121	-2.816455968
122	-2.820076909
123	-2.823134021
124	-2.8248623
125	-2.827747511
126	-2.834794291
127	-2.836596951
128	-2.840290862
129	-2.842787848
130	-2.843784892
131	-2.845800186
132	-2.847176741
133	-2.848172612
134	-2.850276792
135	-2.852879368
136	-2.85447269
137	-2.861661389
138	-2.863086775
139	-2.86509819
140	-2.866230899
141	-2.867426682
142	-2.869303685
143	-2.872060108
144	-2.876263558
145	-2.878459396
146	-2.880070613
147	-2.882966522
148	-2.884174591
149	-2.886302123
150	-2.888689781
151	-2.889905753
152	-2.891364026
153	-2.892628632
154	-2.895337313
155	-2.897374169
156	-2.898895492
157	-2.901504972
158	-2.90341051
159	-2.905717748
160	-2.907626961
161	-2.910314916
162	-2.911318124
163	-2.913523768
164	-2.916079775
165	-2.918211604
166	-2.919106095
167	-2.921090459
168	-2.923263724
169	-2.925423739
170	-2.926791756
171	-2.929925573
172	-2.931297013
173	-2.932315381
174	-2.933543153
175	-2.935073027
176	-2.93818733
177	-2.938281211
178	-2.940636923
179	-2.941637058
180	-2.943345921
181	-2.945614968
182	-2.94726774
183	-2.948031292
184	-2.950448345
185	-2.951823702
186	-2.953068734
187	-2.955323854
188	-2.9568592
189	-2.958292692
190	-2.960107353
191	-2.96095123
192	-2.961575963
193	-2.962805366
194	-2.964111549
195	-2.966372639
196	-2.967136109
197	-2.968734399
198	-2.971163975
199	-2.973440849
200	-2.975631352
201	-2.977165041
202	-2.978791988
203	-2.979905366
204	-2.980725118
205	-2.981474603
206	-2.983734867
207	-2.984225433
208	-2.984614242
209	-2.986526539
210	-2.987290195
211	-2.988852467
212	-2.991207175
213	-2.991610836
214	-2.992688933
215	-2.993728207
216	-2.995226828
217	-2.996180917
218	-2.997530849
219	-2.999039397
220	-3.000986774
221	-3.002228583
222	-3.004171582
223	-3.005180736
224	-3.006129954
225	-3.00809216
226	-3.009817154
227	-3.011145047
228	-3.012310509
229	-3.014050983
230	-3.015715278
231	-3.017159597
232	-3.019275401
233	-3.020493394
234	-3.022019255
235	-3.02257971
236	-3.023786825
237	-3.025411136
238	-3.027412393
239	-3.02889492
240	-3.03035264
241	-3.031512301
242	-3.032529016
243	-3.033435352
244	-3.033599857
245	-3.034788891
246	-3.035682895
247	-3.03582724
248	-3.03780449
249	-3.039803041
250	-3.042034503
251	-3.042757527
252	-3.043683227
253	-3.045706956
254	-3.047930334
255	-3.048894367
256	-3.049332835
257	-3.050526407
258	-3.051375452
259	-3.052704908
260	-3.053570439
261	-3.054649214
262	-3.056240424
263	-3.057499834
264	-3.058923277
265	-3.060024753
266	-3.06174645
267	-3.062419455
268	-3.063911787
269	-3.064818853
270	-3.066934428
271	-3.067823903
272	-3.069683487
273	-3.069970963
274	-3.071213664
275	-3.073967336
276	-3.07540186
277	-3.076708728
278	-3.079377474
279	-3.081186918
280	-3.082747655
281	-3.084071791
282	-3.086186159
283	-3.088217333
284	-3.088310636
285	-3.089741889
286	-3.091634965
287	-3.092619631
288	-3.093951317
289	-3.095144789
290	-3.097778391
291	-3.100018811
292	-3.101353248
293	-3.102753136
294	-3.103966065
295	-3.105656821
296	-3.106657974
297	-3.107880486
298	-3.108646477
299	-3.111628104
300	-3.112566628
301	-3.113393831
302	-3.115372374
303	-3.117311882
304	-3.119647822
305	-3.121177694
306	-3.123528848
307	-3.124146008
308	-3.127404754
309	-3.128635871
310	-3.129943824
311	-3.132445453
312	-3.13285663
313	-3.134897544
314	-3.135464037
315	-3.136333614
316	-3.136696042
317	-3.138006802
318	-3.139408547
319	-3.140645677
320	-3.141637818
321	-3.14307319
322	-3.144866671
323	-3.145801357
324	-3.146499458
325	-3.149175811
326	-3.149832772
327	-3.152139129
328	-3.15423966
329	-3.154949134
330	-3.156493518
331	-3.157567384
332	-3.159081782
333	-3.160981554
334	-3.163834917
335	-3.165171998
336	-3.167375479
337	-3.167916762
338	-3.17021563
339	-3.170931915
340	-3.172232798
341	-3.173813824
342	-3.174251179
343	-3.17501238
344	-3.176207611
345	-3.178153999
346	-3.179050834
347	-3.179924396
348	-3.181084517
349	-3.182659194
350	-3.184282353
351	-3.185928584
352	-3.186872827
353	-3.188947018
354	-3.190382212
355	-3.191597197
356	-3.19224081
357	-3.193503228
358	-3.195200028
359	-3.196736584
360	-3.198181469
361	-3.198949135
362	-3.200551623
363	-3.202180298
364	-3.203420576
365	-3.204175795
366	-3.205666135
367	-3.207082937
368	-3.208501709
369	-3.209506156
370	-3.210871603
371	-3.213337097
372	-3.215924612
373	-3.217206189
374	-3.218503785
375	-3.219753171
376	-3.221020813
377	-3.223516534
378	-3.224129851
379	-3.224751699
