iter	Passed	Remaining
0	153	153459
1	158	78937
2	162	54025
3	166	41456
4	169	33808
5	173	28740
6	178	25264
7	182	22613
8	185	20461
9	189	18806
10	194	17487
11	198	16334
12	202	15338
13	206	14514
14	210	13836
15	214	13206
16	218	12630
17	224	12253
18	229	11859
19	234	11479
20	238	11129
21	243	10804
22	246	10489
23	250	10194
24	255	9951
25	259	9717
26	263	9481
27	267	9269
28	271	9095
29	275	8921
30	280	8758
31	283	8588
32	288	8459
33	293	8326
34	296	8185
35	301	8073
36	306	7969
37	310	7849
38	313	7736
39	318	7655
40	323	7573
41	328	7482
42	332	7396
43	336	7315
44	340	7232
45	344	7140
46	348	7074
47	352	7001
48	358	6948
49	362	6881
50	367	6834
51	371	6777
52	375	6712
53	379	6653
54	384	6605
55	388	6547
56	392	6486
57	396	6447
58	401	6410
59	406	6361
60	409	6310
61	415	6288
62	420	6253
63	424	6210
64	429	6173
65	433	6137
66	437	6091
67	442	6061
68	447	6039
69	451	6001
70	456	5970
71	462	5963
72	466	5928
73	471	5893
74	476	5879
75	481	5855
76	485	5817
77	489	5786
78	494	5761
79	498	5736
80	502	5706
81	507	5685
82	513	5668
83	517	5641
84	521	5616
85	526	5595
86	530	5566
87	534	5541
88	539	5519
89	543	5497
90	547	5473
91	552	5449
92	557	5434
93	561	5412
94	565	5389
95	570	5372
96	575	5353
97	579	5332
98	584	5315
99	590	5310
100	594	5292
101	598	5270
102	603	5257
103	608	5246
104	613	5227
105	618	5216
106	623	5203
107	627	5181
108	631	5162
109	635	5145
110	640	5129
111	645	5114
112	649	5100
113	654	5090
114	659	5074
115	664	5062
116	669	5050
117	674	5042
118	679	5029
119	684	5021
120	689	5009
121	694	4995
122	699	4987
123	703	4971
124	707	4955
125	712	4943
126	717	4933
127	721	4917
128	726	4902
129	730	4891
130	735	4878
131	739	4865
132	745	4858
133	750	4848
134	754	4833
135	759	4822
136	763	4811
137	768	4799
138	773	4788
139	779	4786
140	783	4773
141	787	4758
142	792	4750
143	797	4742
144	802	4729
145	806	4716
146	811	4708
147	815	4695
148	819	4679
149	824	4670
150	829	4662
151	833	4649
152	838	4641
153	842	4630
154	847	4619
155	852	4610
156	856	4597
157	861	4591
158	866	4583
159	872	4578
160	877	4572
161	882	4564
162	887	4559
163	892	4550
164	896	4538
165	901	4527
166	906	4522
167	911	4511
168	915	4501
169	920	4494
170	925	4485
171	929	4474
172	934	4468
173	939	4459
174	943	4449
175	948	4438
176	953	4435
177	957	4420
178	961	4409
179	966	4404
180	972	4398
181	976	4388
182	981	4380
183	986	4373
184	990	4364
185	994	4354
186	1000	4351
187	1004	4340
188	1008	4328
189	1013	4321
190	1019	4317
191	1023	4307
192	1027	4296
193	1032	4290
194	1037	4281
195	1041	4271
196	1046	4266
197	1051	4260
198	1056	4251
199	1061	4246
200	1067	4242
201	1071	4233
202	1076	4227
203	1081	4221
204	1086	4211
205	1090	4201
206	1094	4194
207	1098	4184
208	1102	4173
209	1107	4166
210	1112	4160
211	1116	4149
212	1120	4140
213	1125	4132
214	1130	4126
215	1135	4119
216	1140	4114
217	1146	4112
218	1151	4108
219	1157	4105
220	1163	4102
221	1169	4096
222	1174	4091
223	1179	4085
224	1183	4076
225	1188	4070
226	1193	4063
227	1197	4054
228	1202	4047
229	1207	4041
230	1211	4032
231	1215	4023
232	1220	4016
233	1226	4013
234	1230	4006
235	1235	4000
236	1241	3996
237	1245	3988
238	1251	3983
239	1256	3979
240	1261	3973
241	1266	3965
242	1271	3961
243	1276	3953
244	1278	3941
245	1284	3935
246	1288	3929
247	1291	3916
248	1298	3916
249	1304	3912
250	1308	3905
251	1313	3899
252	1318	3894
253	1323	3886
254	1328	3880
255	1333	3876
256	1339	3871
257	1344	3866
258	1350	3862
259	1355	3858
260	1361	3854
261	1367	3850
262	1371	3844
263	1376	3838
264	1382	3833
265	1386	3826
266	1391	3819
267	1397	3815
268	1401	3809
269	1406	3802
270	1411	3797
271	1416	3790
272	1421	3784
273	1425	3778
274	1430	3772
275	1436	3766
276	1443	3766
277	1448	3762
278	1453	3757
279	1459	3753
280	1464	3747
281	1470	3742
282	1475	3738
283	1480	3732
284	1484	3724
285	1491	3722
286	1495	3715
287	1500	3709
288	1505	3704
289	1510	3696
290	1514	3689
291	1520	3685
292	1524	3679
293	1529	3672
294	1534	3667
295	1539	3662
296	1544	3655
297	1548	3648
298	1554	3645
299	1559	3639
300	1564	3634
301	1570	3630
302	1575	3623
303	1580	3618
304	1586	3616
305	1591	3609
306	1596	3604
307	1601	3598
308	1605	3591
309	1610	3584
310	1615	3579
311	1620	3572
312	1624	3565
313	1629	3560
314	1634	3554
315	1639	3547
316	1644	3542
317	1649	3537
318	1653	3530
319	1658	3525
320	1664	3520
321	1669	3514
322	1674	3510
323	1680	3507
324	1686	3502
325	1692	3499
326	1698	3496
327	1703	3489
328	1708	3484
329	1713	3478
330	1718	3473
331	1723	3467
332	1728	3462
333	1733	3455
334	1738	3451
335	1744	3447
336	1748	3440
337	1753	3434
338	1759	3430
339	1763	3424
340	1769	3418
341	1775	3415
342	1779	3409
343	1785	3404
344	1790	3399
345	1795	3394
346	1800	3388
347	1806	3385
348	1811	3378
349	1816	3372
350	1821	3368
351	1825	3361
352	1830	3354
353	1834	3348
354	1839	3342
355	1844	3336
356	1850	3332
357	1855	3327
358	1859	3320
359	1864	3314
360	1869	3309
361	1874	3302
362	1878	3297
363	1884	3292
364	1889	3286
365	1894	3280
366	1899	3276
367	1904	3271
368	1909	3265
369	1915	3261
370	1919	3254
371	1923	3247
372	1928	3241
373	1933	3235
374	1937	3228
375	1941	3222
376	1947	3217
377	1951	3211
378	1956	3205
379	1962	3201
380	1966	3195
381	1972	3190
382	1976	3183
383	1981	3179
384	1986	3173
385	1994	3171
386	1999	3166
387	2003	3160
388	2009	3156
389	2013	3149
390	2017	3142
391	2022	3137
392	2027	3131
393	2031	3125
394	2036	3118
395	2041	3114
396	2046	3108
397	2050	3101
398	2055	3095
399	2059	3089
400	2063	3082
401	2067	3076
402	2072	3070
403	2077	3064
404	2081	3058
405	2086	3053
406	2091	3047
407	2096	3041
408	2101	3035
409	2106	3030
410	2110	3025
411	2115	3018
412	2120	3014
413	2124	3007
414	2128	3000
415	2134	2996
416	2139	2990
417	2143	2984
418	2148	2978
419	2153	2974
420	2158	2967
421	2162	2962
422	2169	2958
423	2174	2953
424	2178	2947
425	2184	2943
426	2188	2936
427	2193	2931
428	2197	2925
429	2202	2919
430	2207	2914
431	2213	2910
432	2218	2905
433	2222	2898
434	2228	2894
435	2233	2889
436	2238	2883
437	2242	2877
438	2247	2872
439	2252	2866
440	2257	2861
441	2263	2857
442	2268	2852
443	2273	2847
444	2279	2842
445	2284	2837
446	2289	2832
447	2294	2827
448	2299	2821
449	2304	2816
450	2310	2812
451	2314	2806
452	2319	2800
453	2324	2796
454	2329	2790
455	2333	2784
456	2338	2778
457	2344	2774
458	2349	2768
459	2353	2763
460	2360	2760
461	2366	2755
462	2371	2750
463	2376	2745
464	2381	2739
465	2387	2736
466	2392	2730
467	2397	2725
468	2403	2720
469	2407	2715
470	2412	2709
471	2417	2704
472	2422	2698
473	2427	2693
474	2432	2688
475	2437	2683
476	2442	2677
477	2447	2672
478	2451	2666
479	2456	2661
480	2461	2655
481	2467	2651
482	2472	2646
483	2477	2641
484	2483	2637
485	2487	2631
486	2491	2624
487	2496	2619
488	2501	2613
489	2505	2607
490	2509	2601
491	2514	2596
492	2520	2592
493	2525	2586
494	2530	2581
495	2535	2575
496	2539	2570
497	2544	2564
498	2548	2558
499	2553	2553
500	2559	2548
501	2564	2544
502	2569	2538
503	2574	2533
504	2580	2529
505	2584	2523
506	2589	2518
507	2594	2512
508	2598	2506
509	2603	2501
510	2607	2495
511	2612	2490
512	2617	2484
513	2623	2480
514	2627	2474
515	2632	2469
516	2637	2464
517	2643	2459
518	2648	2454
519	2655	2451
520	2661	2446
521	2666	2441
522	2672	2437
523	2677	2431
524	2681	2426
525	2686	2421
526	2691	2415
527	2695	2410
528	2702	2406
529	2707	2401
530	2713	2396
531	2718	2391
532	2723	2386
533	2728	2380
534	2732	2375
535	2737	2369
536	2742	2364
537	2747	2359
538	2752	2353
539	2756	2347
540	2761	2343
541	2766	2337
542	2770	2332
543	2775	2326
544	2780	2321
545	2784	2315
546	2789	2309
547	2793	2304
548	2799	2299
549	2803	2293
550	2808	2288
551	2814	2284
552	2819	2278
553	2823	2273
554	2830	2269
555	2835	2264
556	2841	2259
557	2847	2255
558	2853	2250
559	2859	2246
560	2864	2241
561	2870	2237
562	2875	2232
563	2880	2226
564	2885	2221
565	2891	2217
566	2896	2211
567	2901	2206
568	2906	2201
569	2912	2197
570	2918	2192
571	2923	2187
572	2928	2182
573	2933	2177
574	2939	2172
575	2943	2167
576	2950	2162
577	2956	2158
578	2961	2153
579	2968	2149
580	2973	2144
581	2978	2139
582	2985	2135
583	2990	2129
584	2995	2124
585	3000	2119
586	3004	2113
587	3008	2107
588	3012	2102
589	3018	2097
590	3022	2091
591	3027	2086
592	3032	2081
593	3036	2075
594	3040	2069
595	3044	2063
596	3049	2058
597	3054	2053
598	3059	2048
599	3065	2043
600	3069	2037
601	3073	2032
602	3079	2027
603	3083	2021
604	3087	2016
605	3092	2010
606	3097	2005
607	3101	1999
608	3105	1993
609	3111	1989
610	3116	1984
611	3120	1978
612	3126	1973
613	3130	1968
614	3134	1962
615	3139	1956
616	3145	1952
617	3150	1947
618	3156	1942
619	3161	1937
620	3165	1932
621	3170	1926
622	3176	1922
623	3180	1916
624	3185	1911
625	3189	1905
626	3194	1900
627	3198	1894
628	3203	1889
629	3208	1884
630	3212	1878
631	3217	1873
632	3222	1868
633	3226	1862
634	3231	1857
635	3235	1851
636	3240	1846
637	3245	1841
638	3251	1836
639	3256	1831
640	3260	1826
641	3266	1821
642	3271	1816
643	3276	1811
644	3281	1806
645	3286	1800
646	3290	1795
647	3295	1789
648	3299	1784
649	3304	1779
650	3308	1773
651	3313	1768
652	3318	1763
653	3323	1758
654	3327	1752
655	3332	1747
656	3337	1742
657	3342	1737
658	3347	1732
659	3353	1727
660	3357	1721
661	3362	1717
662	3368	1712
663	3372	1706
664	3378	1701
665	3382	1696
666	3387	1691
667	3391	1685
668	3396	1680
669	3401	1675
670	3407	1670
671	3412	1665
672	3416	1660
673	3421	1655
674	3427	1650
675	3432	1645
676	3437	1639
677	3442	1635
678	3447	1629
679	3452	1624
680	3457	1619
681	3462	1614
682	3466	1608
683	3471	1603
684	3476	1598
685	3480	1593
686	3486	1588
687	3491	1583
688	3495	1577
689	3500	1572
690	3505	1567
691	3510	1562
692	3514	1556
693	3519	1551
694	3524	1546
695	3528	1541
696	3532	1535
697	3538	1530
698	3542	1525
699	3547	1520
700	3553	1515
701	3557	1510
702	3561	1504
703	3567	1499
704	3571	1494
705	3576	1489
706	3581	1484
707	3586	1479
708	3590	1473
709	3595	1468
710	3599	1463
711	3603	1457
712	3607	1452
713	3612	1447
714	3617	1441
715	3621	1436
716	3626	1431
717	3631	1426
718	3636	1421
719	3640	1415
720	3645	1410
721	3650	1405
722	3654	1400
723	3660	1395
724	3664	1390
725	3669	1384
726	3673	1379
727	3677	1374
728	3682	1368
729	3686	1363
730	3691	1358
731	3697	1353
732	3701	1348
733	3706	1343
734	3711	1338
735	3715	1332
736	3719	1327
737	3727	1323
738	3732	1318
739	3737	1313
740	3743	1308
741	3747	1303
742	3751	1297
743	3757	1292
744	3761	1287
745	3765	1282
746	3771	1277
747	3778	1273
748	3784	1268
749	3789	1263
750	3793	1257
751	3798	1252
752	3803	1247
753	3808	1242
754	3813	1237
755	3819	1232
756	3824	1227
757	3829	1222
758	3834	1217
759	3839	1212
760	3860	1212
761	3865	1207
762	3870	1202
763	3874	1196
764	3880	1192
765	3885	1187
766	3890	1182
767	3896	1176
768	3901	1171
769	3906	1166
770	3911	1161
771	3917	1156
772	3922	1151
773	3926	1146
774	3932	1141
775	3936	1136
776	3940	1131
777	3946	1126
778	3951	1120
779	3955	1115
780	3959	1110
781	3964	1105
782	3968	1099
783	3973	1094
784	3978	1089
785	3983	1084
786	3987	1079
787	3991	1073
788	3996	1068
789	4001	1063
790	4005	1058
791	4010	1053
792	4015	1048
793	4019	1042
794	4025	1037
795	4030	1032
796	4034	1027
797	4039	1022
798	4044	1017
799	4048	1012
800	4053	1006
801	4059	1002
802	4063	996
803	4067	991
804	4072	986
805	4077	981
806	4081	976
807	4086	971
808	4090	965
809	4096	960
810	4101	955
811	4106	950
812	4111	945
813	4116	940
814	4123	936
815	4127	930
816	4133	925
817	4138	920
818	4142	915
819	4147	910
820	4151	905
821	4156	900
822	4161	895
823	4167	890
824	4172	885
825	4177	879
826	4183	875
827	4189	870
828	4196	865
829	4203	860
830	4212	856
831	4218	851
832	4222	846
833	4228	841
834	4234	836
835	4239	831
836	4244	826
837	4250	821
838	4255	816
839	4261	811
840	4266	806
841	4271	801
842	4277	796
843	4283	791
844	4289	786
845	4295	781
846	4300	776
847	4304	771
848	4311	766
849	4316	761
850	4322	756
851	4327	751
852	4332	746
853	4338	741
854	4343	736
855	4349	731
856	4355	726
857	4361	721
858	4366	716
859	4372	711
860	4377	706
861	4383	701
862	4390	697
863	4395	691
864	4401	686
865	4406	681
866	4412	676
867	4417	671
868	4423	666
869	4427	661
870	4434	656
871	4439	651
872	4444	646
873	4452	641
874	4457	636
875	4462	631
876	4468	626
877	4473	621
878	4478	616
879	4483	611
880	4488	606
881	4494	601
882	4499	596
883	4504	591
884	4509	585
885	4515	581
886	4520	575
887	4525	570
888	4531	565
889	4536	560
890	4543	555
891	4548	550
892	4553	545
893	4560	540
894	4565	535
895	4571	530
896	4576	525
897	4581	520
898	4585	515
899	4591	510
900	4595	504
901	4601	499
902	4607	494
903	4612	489
904	4617	484
905	4623	479
906	4628	474
907	4633	469
908	4640	464
909	4646	459
910	4651	454
911	4657	449
912	4663	444
913	4670	439
914	4674	434
915	4679	429
916	4685	424
917	4690	418
918	4695	413
919	4699	408
920	4705	403
921	4711	398
922	4716	393
923	4721	388
924	4726	383
925	4732	378
926	4737	373
927	4742	367
928	4749	362
929	4754	357
930	4760	352
931	4766	347
932	4771	342
933	4777	337
934	4783	332
935	4788	327
936	4794	322
937	4799	317
938	4804	312
939	4809	307
940	4815	301
941	4820	296
942	4827	291
943	4832	286
944	4837	281
945	4845	276
946	4849	271
947	4857	266
948	4864	261
949	4873	256
950	4878	251
951	4884	246
952	4890	241
953	4895	236
954	4900	230
955	4905	225
956	4910	220
957	4915	215
958	4920	210
959	4925	205
